MANDT,PRCTR,DATBI,KOKRS,DATAB,ERSDA,USNAM,MERKMAL,ABTEI,VERAK,VERAK_USER,WAERS,NPRCTR,LAND1,ANRED,NAME1,NAME2,NAME3,NAME4,ORT01,ORT02,STRAS,PFACH,PSTLZ,PSTL2,SPRAS,TELBX,TELF1,TELF2,TELFX,TELTX,TELX1,DATLT,DRNAM,KHINR,BUKRS,VNAME,RECID,ETYPE,TXJCD,REGIO,KVEWE,KAPPL,KALSM,LOGSYSTEM,LOCK_IND,PCA_TEMPLATE,SEGMENT,/SIE/ASP_BUNIT,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,PC-0652,20250731,469X,20241001,20200924,,,CIE,,,,SEG-003,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,,,,,20251021,134027,2025-10-21 13:40:38.362,2025-10-21 14:11:20.941
500,PC-0650,20250731,469X,20241001,20191023,,,CIE,,,,SEG-003,,,,,,,,,,,,,P,,,,,,,,,CIT01987,,,,,,,,,,,,,,,20250811,151807,2025-08-11 15:18:48.340,2025-08-11 15:45:28.046
500,PC-0656,20250731,469X,20221001,20191209,,,CIT410,,,,SEG-003,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,,,,,20250811,152509,2025-08-11 15:25:19.595,2025-08-11 15:45:28.046
500,PC-0653,20240930,469X,20191001,20191023,,,CFA CF,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9TR1,,,,,,,,,,,,,,,20240919,184247,2024-09-19 18:43:08.576,2024-09-19 19:12:54.687
500,PC-0662,20240930,469X,20221001,20200318,,,TRE,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,,,,,20240919,184320,2024-09-19 18:46:19.677,2024-09-19 19:12:54.687
500,PC-0647,20240930,469X,20191001,20191023,,,CFA CPR,,,,SEG-017,,,,,,,,,,,,,P,,,,,,,,,L60SHP9989,,,,,,,,,,,,,,,20240919,184247,2024-09-19 18:43:08.576,2024-09-19 19:12:54.687
500,PC-0663,20240930,469X,20221001,20200318,,,TRE,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,,,,,20240919,184320,2024-09-19 18:46:19.677,2024-09-19 19:12:54.687
500,PC-0658,20240930,469X,20191001,20191209,,,SFS038,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,,,,,20240919,184247,2024-09-19 18:43:08.576,2024-09-19 19:12:54.687
500,PC-0654,20240930,469X,20191001,20200924,,,PEN001,,,,SEG-017,,,,,,,,,,,,,P,,,,,,,,,L60SHPCIT0,,,,,,,,,,,,,,,20240919,184247,2024-09-19 18:43:08.576,2024-09-19 19:12:54.687
500,PC-0659,20240930,469X,20191001,20191209,,,SFS045,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,,,,,20240919,184247,2024-09-19 18:43:08.576,2024-09-19 19:12:54.687
500,PC-0664,20240930,469X,20191001,20200318,,,TRE,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9000,,,,,,,,,,,X,,,,20251205,154407,2025-12-05 15:44:14.536,2025-12-05 16:10:01.009
500,PC-0665,20240930,469X,20200501,20200512,,,TRE,,,,SEG-028,,,,,,,,,,,,,P,,,,,,,,,L60SHP9TRE,,,,,,,,,,,,,,,20240919,184320,2024-09-19 18:46:19.677,2024-09-19 19:12:54.687
500,PC-0055,20250930,469X,20221001,20191023,,,SI EA S,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPEM10,,,,,,,,,,,,,,,20251030,191401,2025-10-30 19:18:01.946,2025-10-30 19:39:47.565
500,PC-0054,20250930,469X,20221001,20191023,,,SI EA S,,,,SEG-026,,,,,,,,,,,,,P,,,,,,,,,L60SHPEM10,,,,,,,,,,,,,,,20251030,191401,2025-10-30 19:18:01.946,2025-10-30 19:39:47.565
500,PC-0692,20250930,469X,20241001,20240924,,,GBS PS,,,,SEG-009,,,,,,,,,,,,,P,,,,,,,,,L60SHP9400,,,,,,,,,,,,,,,20250930,200307,2025-09-30 20:04:22.610,2025-09-30 20:10:10.478
500,PC-0237,20250930,469X,20241001,20240116,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
500,PC-0226,20250930,469X,20211001,20211004,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195011,2025-09-30 19:50:52.111,2025-09-30 20:10:10.478
500,PC-0239,20250930,469X,20241001,20240116,,,SDI FA,,,,SEG-020,,,,,,,,,,,,,P,,,,,,,,,L60SHPDI10,,,,,,,,,,,,,,,20250930,195943,2025-09-30 19:59:55.445,2025-09-30 20:10:10.478
