MANDT,MATNR,SPRAS,MAKTX,MAKTG,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-003674,P,Product MAT-003674,Product MAT-003674,20260129,100034,2026-01-29 10:00:46.044,2026-01-29 10:10:58.357
500,MAT-002676,Z,Product MAT-002676,Product MAT-002676,20260107,200600,2026-01-07 20:06:13.485,2026-01-07 20:09:51.812
500,MAT-000693,D,Product MAT-000693,Product MAT-000693,20260107,181203,2026-01-07 18:12:10.956,2026-01-07 18:38:51.315
500,MAT-003084,E,Product MAT-003084,Product MAT-003084,20260227,205931,2026-02-27 20:59:45.132,2026-02-27 21:09:16.257
500,MAT-002783,D,Product MAT-002783,Product MAT-002783,20260210,164710,2026-02-10 16:48:30.655,2026-02-10 17:09:26.495
500,MAT-002005,P,Product MAT-002005,Product MAT-002005,20260203,134646,2026-02-03 13:51:35.439,2026-02-03 14:10:32.666
500,MAT-004015,P,Product MAT-004015,Product MAT-004015,20260209,121443,2026-02-09 12:20:18.514,2026-02-09 12:40:34.221
500,MAT-003776,P,Product MAT-003776,Product MAT-003776,20260225,100009,2026-02-25 10:00:51.131,2026-02-25 10:13:20.113
500,MAT-002444,P,Product MAT-002444,Product MAT-002444,20251205,142544,2025-12-05 14:25:55.456,2025-12-05 14:40:14.718
500,MAT-000715,P,Product MAT-000715,Product MAT-000715,20260108,184721,2026-01-08 18:47:28.862,2026-01-08 19:09:00.684
500,MAT-004058,P,Product MAT-004058,Product MAT-004058,20251125,193443,2025-11-25 19:34:49.047,2025-11-25 19:39:15.299
500,MAT-000524,E,Product MAT-000524,Product MAT-000524,20260226,070410,2026-02-26 07:04:46.423,2026-02-26 07:10:00.036
500,MAT-003680,E,Product MAT-003680,Product MAT-003680,20260226,051401,2026-02-26 05:14:32.924,2026-02-26 05:39:30.713
500,MAT-002459,P,Product MAT-002459,Product MAT-002459,20260108,151247,2026-01-08 15:12:55.364,2026-01-08 15:40:23.014
500,MAT-001973,P,Product MAT-001973,Product MAT-001973,20251117,153222,2025-11-17 15:32:36.272,2025-11-17 15:39:51.122
500,MAT-002815,P,Product MAT-002815,Product MAT-002815,20260130,204011,2026-01-30 20:40:18.194,2026-01-30 21:09:07.720
500,MAT-000007,S,Product MAT-000007,Product MAT-000007,20251223,160047,2025-12-23 16:00:54.674,2025-12-23 16:09:38.075
500,MAT-003706,D,Product MAT-003706,Product MAT-003706,20260209,104548,2026-02-09 10:49:55.308,2026-02-09 11:10:57.934
500,MAT-002454,P,Product MAT-002454,Product MAT-002454,20260108,114402,2026-01-08 11:44:09.580,2026-01-08 12:09:46.016
500,MAT-003699,D,Product MAT-003699,Product MAT-003699,20260211,103507,2026-02-11 10:35:31.771,2026-02-11 11:10:13.509
500,MAT-003084,Z,Product MAT-003084,Product MAT-003084,20260227,205931,2026-02-27 20:59:45.132,2026-02-27 21:09:16.257
500,MAT-000527,P,Product MAT-000527,Product MAT-000527,20251208,074235,2025-12-08 07:42:58.508,2025-12-08 08:08:38.591
500,MAT-000378,S,Product MAT-000378,Product MAT-000378,20251223,092126,2025-12-23 09:21:33.568,2025-12-23 09:39:15.459
