MANDT,MATNR,WERKS,PSTAT,LVORM,BWTTY,XCHAR,MMSTA,MMSTD,MAABC,KZKRI,EKGRP,AUSME,DISPR,DISMM,DISPO,KZDIE,PLIFZ,WEBAZ,PERKZ,AUSSS,DISLS,BESKZ,SOBSL,MINBE,EISBE,BSTMI,BSTMA,BSTFE,BSTRF,MABST,LOSFX,SBDKZ,LAGPR,ALTSL,KZAUS,AUSDT,NFMAT,KZBED,MISKZ,FHORI,PFREI,FFREI,RGEKZ,FEVOR,BEARZ,RUEZT,TRANZ,BASMG,DZEIT,MAXLZ,LZEIH,KZPRO,GPMKZ,UEETO,UEETK,UNETO,WZEIT,ATPKZ,VZUSL,HERBL,INSMK,SPROZ,QUAZT,SSQSS,MPDAU,KZPPV,KZDKZ,WSTGH,PRFRQ,NKMPR,UMLMC,LADGR,XCHPF,USEQU,LGRAD,AUFTL,PLVAR,OTYPE,OBJID,MTVFP,PERIV,KZKFK,VRVEZ,VBAMG,VBEAZ,LIZYK,BWSCL,KAUTB,KORDB,STAWN,HERKL,HERKR,EXPME,MTVER,PRCTR,TRAME,MRPPP,SAUFT,FXHOR,VRMOD,VINT1,VINT2,VERKZ,STLAL,STLAN,PLNNR,APLAL,LOSGR,SOBSK,FRTME,LGPRO,DISGR,KAUSF,QZGTP,QMATV,TAKZT,RWPRO,COPAM,ABCIN,AWSLS,SERNP,CUOBJ,STDPD,SFEPR,XMCNG,QSSYS,LFRHY,RDPRF,VRBMT,VRBWK,VRBDT,VRBFK,AUTRU,PREFE,PRENC,PRENO,PREND,PRENE,PRENG,ITARK,SERVG,KZKUP,STRGR,CUOBV,LGFSB,SCHGT,CCFIX,EPRIO,QMATA,RESVP,PLNTY,UOMGR,UMRSL,ABFAC,SFCPF,SHFLG,SHZET,MDACH,KZECH,MEGRU,MFRGR,VKUMC,VKTRW,KZAGL,FVIDK,FXPRU,LOGGR,FPRFM,GLGMG,VKGLG,INDUS,MOWNR,MOGRU,CASNR,GPNUM,STEUC,FABKZ,MATGR,VSPVB,DPLFS,DPLPU,DPLHO,MINLS,MAXLS,FIXLS,LTINC,COMPL,CONVT,SHPRO,AHDIS,DIBER,KZPSP,OCMPF,APOKZ,MCRUE,LFMON,LFGJA,EISLO,NCOST,ROTATION_DATE,UCHKZ,UCMAT,BWESB,SGT_COVS,SGT_STATC,SGT_SCOPE,SGT_MRPSI,SGT_PRCM,SGT_CHINT,SGT_STK_PRT,SGT_DEFSC,SGT_MRP_ATP_STATUS,SGT_MMSTD,FSH_MG_ARUN_REQ,FSH_SEAIM,FSH_VAR_GROUP,FSH_KZECH,FSH_CALENDAR_GROUP,PPSKZ,PPS_STRATEGY,PPS_PLANNING_TYPE,PPS_HEUR_ID,PPS_FIXPEG,PPS_PEG_STRATEGY,PPS_GRPRT,PPS_GIPRT,PPS_CONHAP,PPS_HUNIT,PPS_CONHAP_OUT,PPS_HUNIT_OUT,PPS_ATPCHECK,PPS_PEG_FUT_AL,PPS_PEG_PAST_AL,/SAPMP/TOLPRPL,/SAPMP/TOLPRMI,/SIE/SF_LO_LEAD_MDM,/VSO/R_PKGRP,/VSO/R_LANE_NUM,/VSO/R_PAL_VEND,/VSO/R_FORK_DIR,IUID_RELEVANT,IUID_TYPE,UID_IEA,CONS_PROCG,GI_PR_TIME,MULTIPLE_EKGRP,REF_SCHEMA,MIN_TROC,MAX_TROC,TARGET_STOCK,ZZLOGMOD,ZZMAXYZ,ZZMAABC,ZZWBZU,ZZMTART,/SIE/DUMMYBATCH,/SIE/ASSEMBLY,/SIE/QMTEXT,/SIE/PG1I_SOPREL,/SIE/PG1I_GRMDW,PPCOD,ZAPOREL,FMGRP,LT_AUTOMATICO,COTA,ZZWZEIT,ZZMMSTA,/SIE/SSG_IBIND,STOCKTYPE,YYKNOWLEDGE,YYUSSTATUS,YYROHSCOD,YYROHSDAT,YYPUL,YYMINIMAL,YYLKZ_DEFINITE,YYSET,YYUZ_SIT,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-001140,PLNT-32,VELBGDPAS,,Q,X,CO,20250320,,,BDI,,SERV,YA,4af9cb254d45,,43,2,M,0.00,EX,F,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,B04,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,X,,85353010,FR,,,,PC-0212,0.000,,,000,,000,000,,,,,,1.000,,,DS00,,0.00,,,0,,,,,ZB89,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,Y8,000000000000000000,DS00,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,85365090,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,06,2025,0.000,X,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20250320,171043,2025-03-20 17:13:32.933,2025-03-20 17:36:49.695
500,MAT-001869,PLNT-30,DELBSVG,,,,LB,20250809,,,BDI,,SERV,YA,3b018408f9ef,,98,2,M,0.00,EX,F,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,B04,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,X,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,X,,,DE,,,,PC-0212,0.000,,,000,,000,000,,,,,,1.000,,,D900,,0.00,,,0,,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,Y8,000000000000000000,D900,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,85030090,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,11,2025,0.000,X,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20250811,193427,2025-08-11 19:38:24.653,2025-08-11 20:08:03.713
500,MAT-001194,PLNT-47,EBVG,,,,CO,20240830,,,BFX,,,,f215faf9d88b,,0,5,M,0.00,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,X,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,DE,,,,PC-0085,0.000,,,000,,000,000,,,,,,1.000,,,,,0.00,,,0,,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,111032100,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,11,2024,0.000,,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,46,,,,,,,00000000,,,,,,20240830,170729,2024-08-30 17:08:21.750,2024-08-30 17:12:43.279
500,MAT-002431,PLNT-37,DEALBSVG,,,,LC,20251031,,,7D0,,BSOP,Y0,d65330cfa5b7,,30,2,M,0.00,Y1,E,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,B04,,,1,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,BR,,,,PC-0086,0.000,,,000,1,022,000,,,,,,1.000,,,EV00,BE01,0.00,,,0,,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,EV00,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,85372090,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,02,2026,0.000,,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20251126,124816,2025-11-26 12:51:10.922,2025-11-26 13:07:58.177
500,MAT-000106,PLNT-16,VELBGDQPS,,,X,LC,20230830,C,,J05,,,X0,ea778aac7d00,,20,3,M,0.00,WB,F,,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.00,,,,,00000000,,,,B00,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,SCP2,X,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,X,,,US,,,,P80507857,0.000,,,009,2,020,005,,,,,,1.000,,,,,0.00,,X,0,B04,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,40,000000000000000000,M914,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,90279099,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,X,12,2024,0.000,,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20251105,111901,2025-11-05 11:19:07.282,2025-11-05 11:36:49.776
500,MAT-002871,PLNT-25,DELBSVQ,,,,LB,20241028,,,,,,Y9,f834d4251729,,0,0,M,0.00,EX,F,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,B04,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,BR,,,,P68301046,0.000,,,000,,000,000,,,,,,0.000,,,V905,,0.00,,,0,,,A,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,V905,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,85045090,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,03,2025,0.000,,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20241212,182150,2024-12-12 18:25:19.901,2024-12-12 18:36:42.656
500,MAT-000249,PLNT-12,VELBGDSQ,,Q,X,LC,20250205,,,BMI,,,ND,f215faf9d88b,,0,0,M,0.00,,X,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,US,,,,P80121000,0.000,,,000,,000,000,,,,,,1.000,,,,,0.00,,,0,,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,85447010,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,05,2025,0.000,X,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20250205,184517,2025-02-05 18:48:00.172,2025-02-05 19:06:51.098
500,MAT-001188,PLNT-47,ELBSVG,,,,,00000000,,,BFX,,,,f215faf9d88b,,0,5,M,0.00,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,X,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,DE,,,,PC-0085,0.000,,,000,,000,000,,,,,,1.000,,,,,0.00,,,0,,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,02,2025,0.000,,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,55,,,,,,,00000000,,,,,,20241123,100638,2024-11-23 10:07:04.993,2024-11-23 10:43:30.137
500,MAT-000497,PLNT-12,VELBGDSQ,,Q,X,LC,20250929,,,BMI,,,ND,f215faf9d88b,,0,0,M,0.00,,X,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,CN,,,,P80124000,0.000,,,000,,000,000,,,,,,1.000,,,,,0.00,,,0,,,,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,84195090,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,12,2025,0.000,X,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20250929,204344,2025-09-29 20:44:45.736,2025-09-29 21:07:02.801
500,MAT-003353,PLNT-24,DELBSVQ,,,,LC,20250225,,,BEC,,,Y9,4af9cb254d45,,5,0,M,0.00,EX,F,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.00,,,,,00000000,,,,B01,,,,,0.00,0.00,0.00,0.000,0,0,,,,0.0,,0.0,0,,0.00,,,0.0,0,,0,,,0,0,00000000,0.000,0000,,,0.0,,,,00000000,Y2,,,0.00,0.000,0.00,,,,,,ES,,,,P68307065,0.000,,,000,,000,000,,,,,,0.000,,,V902,,0.00,,,0,,,A,,,000000000000000000,,,,,,,,,00000000,0.00,,,,,00000000,,00000000,,,,,000000000000000000,V902,,,,,0,,,,0.0,,,00,,,,,0.00,0.00,,,,,,0.000,0.00,00,,,,,84715010,,,,,,0,0.000,0.000,0.000,0.000,00,,,,,,,,,05,2025,0.000,,,,,0.000,,,,,,,,,,00000000,,,,,,,,,,,00,0,0,0.000,,0.000,,,0,0,0.0,0.0,,,,,,,,,,0,,,000,000,0.000,,,,0,,,,,,,,,,,,0,,,,,,,00000000,,,,,,20250225,144238,2025-02-25 14:48:54.382,2025-02-25 15:09:36.712
