MANDT,MATNR,MEINH,UMREZ,UMREN,EANNR,EAN11,NUMTP,LAENG,BREIT,HOEHE,MEABM,VOLUM,VOLEH,BRGEW,GEWEI,MESUB,ATINN,MESRT,XFHDW,XBEWW,KZWSO,MSEHI,BFLME_MARM,GTIN_VARIANT,NEST_FTR,MAX_STACK,CAPAUSE,TY2TQ,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-000832,ST,1,1,,,,320.000,468.000,471.000,MM,70536960.000,MMQ,63.793,KG,,0000000000,00,,,,,,,0,0,0.000,,20260217,191122,2026-02-17 19:14:29.774,2026-02-17 19:39:18.995
500,MAT-002482,ST,1,1,,,,0.000,0.000,0.000,,0.000,CCM,300.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260220,184253,2026-02-20 18:43:04.275,2026-02-20 19:09:49.688
500,MAT-002210,ST,1,1,,,,320.000,468.000,471.000,MM,70536960.000,MMQ,31.138,KG,,0000000000,00,,,,,,,0,0,0.000,,20260212,040446,2026-02-12 04:04:53.474,2026-02-12 04:09:29.535
500,MAT-004423,ST,1,1,,,,0.000,0.000,0.000,,0.000,,2.992,KG,,0000000000,00,,,,,,,0,0,0.000,,20260213,183142,2026-02-13 18:31:50.606,2026-02-13 18:39:19.269
500,MAT-004398,ST,1,1,,,,0.000,0.000,0.000,,0.000,,4.085,KG,,0000000000,00,,,,,,,0,0,0.000,,20260210,201256,2026-02-10 20:13:02.184,2026-02-10 20:38:56.391
500,MAT-003589,ST,1,1,,,,0.000,0.000,0.000,,0.000,,1.800,KG,,0000000000,00,,,,,,,0,0,0.000,,20260209,201552,2026-02-09 20:19:34.834,2026-02-09 20:38:48.692
500,MAT-000474,ST,1,1,,,,18.000,1.000,1.000,CM,0.018,CDM,999.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260219,095637,2026-02-19 09:56:46.120,2026-02-19 10:09:46.351
500,MAT-003073,ST,1,1,,,,1.000,1.000,1.000,MM,1.000,MMQ,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260205,133711,2026-02-05 13:37:23.607,2026-02-05 13:41:01.909
500,MAT-002188,ST,1,1,,,,0.000,0.000,0.000,MM,5.200,MMQ,420.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260203,204318,2026-02-03 20:43:28.378,2026-02-03 21:09:29.992
500,MAT-002247,ST,1,1,,,,0.000,0.000,0.000,MM,5.200,MMQ,420.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260302,131241,2026-03-02 13:12:55.589,2026-03-02 13:41:07.766
500,MAT-002235,ST,1,1,,,,1200.000,1040.000,1300.000,MM,1622400000.000,MMQ,120.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260226,125201,2026-02-26 12:55:32.534,2026-02-26 13:11:15.263
500,MAT-004047,ST,1,1,,,,140.000,75.000,70.000,MM,735000.000,MMQ,0.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260116,170605,2026-01-16 17:06:17.681,2026-01-16 17:10:06.697
500,MAT-002206,UN,1,1,,,,0.000,0.000,0.000,,0.000,,0.000,,,0000000000,00,,,,,,,0,0,0.000,,20260302,184440,2026-03-02 18:44:44.977,2026-03-02 19:09:39.822
500,MAT-000284,ST,1,1,,4056869123318,HE,10.000,2.000,2.000,CM,0.040,CDM,0.010,KG,,0000000000,00,,,,,,,0,0,0.000,,20260223,105012,2026-02-23 10:50:38.521,2026-02-23 11:09:33.194
500,MAT-000228,ST,1,1,,4056869039053,HE,68.000,68.000,62.000,CM,2.867,HL,11.600,KG,,0000000000,00,,,,,,,0,0,0.000,,20260205,162831,2026-02-05 16:28:36.275,2026-02-05 16:40:09.184
500,MAT-002173,ST,1,1,,,,100.000,100.000,100.000,MM,1000000.000,MMQ,0.010,KG,,0000000000,00,,,,,,,0,0,0.000,,20260127,195313,2026-01-27 19:53:20.021,2026-01-27 20:09:22.928
500,MAT-004460,ST,1,1,,,,0.000,0.000,0.000,MM,0.000,MMQ,0.001,KG,,0000000000,00,,,,,,,0,0,0.000,,20260126,192242,2026-01-26 19:22:46.912,2026-01-26 19:39:29.844
500,MAT-003710,ST,1,1,,,,0.000,0.000,0.000,,0.000,,0.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260225,144526,2026-02-25 14:47:18.605,2026-02-25 15:11:17.008
500,MAT-004044,ST,1,1,,,,125.000,85.000,45.000,MM,478125.000,MMQ,0.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260212,120629,2026-02-12 12:12:06.007,2026-02-12 12:40:36.526
500,MAT-004327,ST,1,1,,,,0.000,0.000,0.000,,0.000,,1.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260224,142448,2026-02-24 14:25:56.483,2026-02-24 14:39:52.819
500,MAT-002243,ST,1,1,,,,0.000,0.000,0.000,MM,0.000,MMQ,5.200,KG,,0000000000,00,,,,,,,0,0,0.000,,20260303,201819,2026-03-03 20:19:17.974,2026-03-03 20:39:16.659
500,MAT-000766,ST,1,1,,4047621043081,HE,197.000,130.000,183.000,MM,4686630.000,MMQ,3.333,KG,,0000000000,00,,,,,,,0,0,0.000,,20260303,161341,2026-03-03 16:14:24.629,2026-03-03 16:39:41.956
500,MAT-002474,ST,1,1,,,,0.000,0.000,0.000,,0.000,,289.000,KG,,0000000000,00,,,,,,,0,0,0.000,,20260203,115256,2026-02-03 11:53:18.754,2026-02-03 12:10:23.893
500,MAT-002248,ST,1,1,,,,240.900,296.700,44.145,MM,3155265.199,MMQ,1.220,KG,,0000000000,00,,,,,,,0,0,0.000,,20260302,174201,2026-03-02 17:42:14.099,2026-03-02 18:09:58.919
500,MAT-001549,ST,1,1,,,,0.000,0.000,0.000,MM,0.000,MMQ,0.200,KG,,0000000000,00,,,,,,,0,0,0.000,,20260224,154533,2026-02-24 15:45:42.709,2026-02-24 16:11:12.680
