MANDT,MATNR,VKORG,VTWEG,LVORM,VERSG,BONUS,PROVG,SKTOF,VMSTA,VMSTD,AUMNG,LFMNG,EFMNG,SCMNG,SCHME,VRKME,MTPOS,DWERK,PRODH,PMATN,KONDM,KTGRM,MVGR1,MVGR2,MVGR3,MVGR4,MVGR5,SSTUF,PFLKS,LSTFL,LSTVZ,LSTAK,LDVFL,LDBFL,LDVZL,LDBZL,VDVFL,VDBFL,VDVZL,VDBZL,PRAT1,PRAT2,PRAT3,PRAT4,PRAT5,PRAT6,PRAT7,PRAT8,PRAT9,PRATA,RDPRF,MEGRU,LFMAX,RJART,PBIND,VAVME,MATKC,PVMSO,/BEV1/EMLGRP,/BEV1/EMDRCKSPL,/BEV1/RPBEZME,/BEV1/RPSNS,/BEV1/RPSFA,/BEV1/RPSKI,/BEV1/RPSCO,/BEV1/RPSSO,/SIE/SF_LO_LEAD_MDM,PLGTP,ZZVMSTA,YYLASTUPD,ZZDADATE,ZZDATIME,GLCOMMITTIME,LAST_UPDATED
500,MAT-004418,SORG-01,O1,,1,,,,99,20250608,1.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00006-00010000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251119,183330,2025-11-19 18:34:08.888,2025-11-19 18:38:01.600
500,MAT-002341,SORG-01,O1,,1,,,X,99,20240627,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00038-00010000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250408,124024,2025-04-08 12:44:25.598,2025-04-08 13:11:25.552
500,MAT-004436,SORG-01,O1,,1,01,,X,99,20240813,0.000,0.000,0.000,0.000,,UN,NORM,PLNT-37,602E00023-00010000,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20240813,225315,2024-08-13 22:53:37.805,2024-08-13 23:12:02.727
500,MAT-004360,SORG-01,O1,,1,,,,99,20240902,0.000,0.000,0.000,0.000,,UN,NORM,PLNT-37,602E00006-00010000,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20240902,194425,2024-09-02 19:44:43.785,2024-09-02 20:12:11.023
500,MAT-000776,SORG-01,O1,,1,,,,99,20250922,0.000,0.000,0.000,0.000,,,NORM,PLNT-40,602D00040-00091180,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250925,115800,2025-09-25 12:00:29.746,2025-09-25 12:10:40.923
500,MAT-001679,SORG-01,O1,,1,01,,X,99,20241204,0.000,0.000,0.000,0.000,,,NORM,PLNT-37,602E00007-00010000,,AA,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20241204,142731,2024-12-04 14:30:51.565,2024-12-04 14:41:25.040
500,MAT-000950,SORG-05,O2,,1,05,,,07,20250515,1.000,0.000,0.000,0.000,,,NORM,PLNT-33,602D09000-00000201,,,42,Z01,Z23,ZG4,ZDG,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20251212,223935,2025-12-12 22:39:41.281,2025-12-12 22:40:52.705
500,MAT-000577,SORG-13,O1,,1,,,,99,20250206,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M20901-90100000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250206,165055,2025-02-06 16:51:03.973,2025-02-06 17:12:34.309
500,MAT-000861,SORG-03,O1,,1,,,,99,20050421,1.000,0.000,0.000,0.000,,,NORM,PLNT-47,602D08000-00000018,,,42,E1B,EBC,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250408,171614,2025-04-08 17:16:30.425,2025-04-08 17:39:09.101
500,MAT-000576,SORG-13,O1,,1,,,,99,20250206,1.000,0.000,0.000,0.000,,,NORM,PLNT-20,802M20901-90100000,,,42,,,,,,,,,,,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,,,,,,,,,,,,,0.000,,,,,00000000,,0,,,,,,,,,,,20250206,184509,2025-02-06 18:46:23.023,2025-02-06 19:12:03.001
